English,Meaning
police,полиция
excuse,извинение
turn,повернуть
business,бизнес
case,дело
wants,желания
says,говорит
TRUE,ИСТИННЫЙ
die,умереть
heart,сердце
soon,скоро
each,каждый
worry,волноваться
later,потом
year,год
watch,смотреть
music,Музыка
hand,рука
having,имеющий
probably,вероятно
beautiful,красивая
doctor,доктор
sit,сидеть
eat,есть
thinking,мышление
young,молодой
second,второй
working,работающий
water,вода
person,человек
part,часть
kids,Дети
late,поздно
stuff,вещи
exactly,точно
under,под
death,смерть
minute,минут
pay,платить
crazy,псих
forget,забывать
everybody,все
kid,ребенок
change,изменять
gave,отдал
happen,случаться
damn,проклятие
five,5
drink,напиток
far,далеко
knows,знает
its,это
whatever,что бы ни
eyes,глаза
shut,закрыть
aren,Арен
hit,ударить
taking,принятие
easy,легко
times,раз
check,чек об оплате
hands,Руки
minutes,минут
deal,иметь дело
different,разные
means,означает
inside,внутри
makes,марки
asked,спросил
somebody,кто-то
mine,мой
making,изготовление
body,тело
afraid,боятся
sleep,спать
chance,шанс
dear,Уважаемый
quite,довольно
four,четыре
anyway,в любом случае
close,Закрыть
ain,айн
party,партия
fun,веселье
against,против
word,слово
comes,выходит
important,важный
set,задавать
shall,должен
story,история
number,номер
daughter,дочь
least,наименее
waiting,ожидающий
hurt,повредить
wish,желание
moment,момент
fight,борьба
week,неделя
husband,муж
girls,девушки
rest,остальные
married,женатый
fire,Пожар
game,игра
nobody,никто
mr,Мистер
children,дети
side,боковая сторона
stand,стоять
read,читать
though,хоть
cut,резать
started,начал
sister,сестра
supposed,предполагаемый
between,между
child,ребенок
goes,идет
hours,часы
speak,говорить
women,женщины
behind,позади
almost,почти
truth,правда
blood,кровь
able,способный
lady,леди
anymore,больше
playing,игры
gets,получает
shot,выстрелил
reason,причина
trouble,беда
break,сломать
war,война
city,город
walk,ходить
town,городок
trust,доверять
dr.,др.
met,встретил
office,офис
question,вопрос
brought,привел
yours,ваш
welcome,Добро пожаловать
high,высокая
wow,Вот это да
couple,пара
half,половина
died,умер
cool,здорово
free,бесплатно
either,или
seems,кажется
power,мощность
whoa,тпру
bye,до свидания
buy,купить
telling,красноречивым
honey,медовый
tried,пытался
front,фронт
team,команда
answer,отвечать
gun,пистолет
boys,мальчиков
line,линия
send,Отправить
news,Новости
stupid,тупой
bed,кровать
hurry,торопиться
full,полный
months,месяцы
save,спасти
sometimes,иногда
become,стать
along,вдоль
hate,ненавидеть
food,еда
outside,за пределами
light,свет
l,L
needs,потребности
dog,собака
country,страна
clear,Очистить
order,порядок
em,Эм
fact,факт
lord,господин
captain,капитан
six,шесть
hot,горячий
funny,веселая
black,чернить
mrs.,Г-жа.
alive,в живых
pick,выбирать
feeling,чувство
living,жизнь
cause,причина
ahead,предстоящий
lose,терять
king,король
plan,план
dinner,ужин
sighs,вздохи
sort,Сортировать
leaving,уход
shouldn,не должен
running,Бег
boss,босс
alright,хорошо
promise,обещать
taken,взятый
safe,безопасно
ma,мама
book,книга
sent,послал
white,белый
hour,час
anybody,кто-нибудь
small,небольшой
perfect,Отлично
cause,причина
lives,жизни
special,особый
parents,родители
s,s
john,Джон
himself,сам
perhaps,возможно
sounds,звуки
serious,серьезный
sick,больной
company,Компания
ha,ха
scared,напугана
uncle,дядя
poor,бедные
red,красный
past,мимо
earth,земля
possible,возможно
shoot,стрелять
touch,трогать
sound,звук
top,вершина
ass,жопа
laughs,смеется
cannot,не можешь
asking,просить
win,выиграть
glad,довольный
control,контроль
hmm,Хм
human,человек
drive,привод
hair,волосы
jack,разъем
bitch,сука
luck,удача
murder,убийство
happens,происходит
air,воздуха
ten,10
daddy,папочка
finally,Ну наконец то
chuckles,посмеивается
fast,быстрый
cold,холодный
seem,казаться
laughing,смеющийся
words,слова
hospital,больница
street,улица
hang,вешать
dance,танец
meeting,встреча
till,пока
others,другие
catch,поймать
follow,следить
sense,смысл
sex,секс
lie,ложь
evening,вечер
master,владелец
known,известный
dream,мечтать
write,написать
million,миллиона
voice,голос
sweet,милая
rather,скорее
felt,чувствовал себя
sign,знак
lucky,счастливый
somewhere,где-то
bet,ставка
o,о
jesus,Иисус
longer,дольше
calling,призвание
worked,работал
quiet,тихий
looked,смотрел
less,меньше
pull,тянуть
beat,бить
careful,осторожный
coffee,кофе
return,возвращение
secret,секрет
weeks,недель
weren,weren
date,Дата
seeing,видящий
fall,падение
given,данный
ooh,ух
fault,вина
straight,прямой
takes,принимает
song,песня
future,будущее
gentlemen,господа
loved,любимый
changed,измененный
road,Дорога
calm,спокойствие
wonderful,замечательный
mad,без ума
turned,оказалось
drop,уронить
learn,учить
step,шаг
absolutely,абсолютно
early,рано
explain,объяснять
clean,чистый
piece,кусок
yesterday,вчерашний день
throw,бросать
picture,картина
land,земля
feet,ноги
wonder,удивляться
questions,вопросов
speaking,Говорящий
worth,стоящий
darling,дорогой
dude,чувак
giving,дающий
president,президент
eye,глаз
quick,быстрый
moving,движущийся
figure,фигура
state,штат
strong,сильный
sam,Сэм
none,никто
amazing,удивительный
ones,"те,"
works,работает
act,действовать
needed,нужный
weird,странный
law,закон
worried,волновался
report,отчет
goodbye,до свидания
missing,отсутствующий
choice,выбор
happening,происходит
chief,главный
wedding,свадьба
strange,странный
general,Общая
pain,боль
am,являюсь
kidding,шутя
decided,решил
ya,я
pass,проходить
tired,устала
class,учебный класс
officer,сотрудник
kept,хранится
wake,будить
worse,хуже
busy,занятый
eh,а
mistake,ошибка
kiss,целовать
court,корт
building,строительство
finish,финиш
during,в течение
age,возраст
ship,судно
caught,пойманный
marry,выходит замуж
meant,имел ввиду
sell,продавать
dark,темный
watching,наблюдение
system,система
suppose,предполагать
evidence,доказательство
movie,фильм
ride,поездка
t,T
completely,полностью
mouth,рот
totally,полностью
birthday,день рождения
tv,Телевизор
forgive,простить
born,Родился
imagine,представить
information,Информация
instead,вместо
definitely,определенно
security,безопасность
certainly,конечно
film,фильм
month,месяц
lying,врущий
unless,пока не
train,тренироваться
seven,Семь
wear,носить
clothes,одежда
michael,Майкл
hotel,отель
christmas,рождество
attack,атака
hasn,hasn
round,круглый
expect,ожидать
sing,петь
terrible,ужасный
george,Джордж
bag,сумка
history,история
blue,синий
near,около
broke,сломанный
station,станция
seriously,серьезно
forever,навсегда
david,Дэйвид
frank,откровенный
except,Кроме
thinks,думает
message,сообщение
entire,весь
joe,Джо
table,Таблица
talked,говорили
across,через
rock,камень
lovely,прекрасный
handle,справиться
middle,середина
buddy,приятель
paid,оплаченный
protect,защищать
using,с использованием
floor,пол
ran,RAN
swear,клянусь
spend,проводить
situation,ситуация
ring,звенеть
anywhere,где угодно
dangerous,опасный
bill,законопроект
york,йорк
army,армия
lead,привести
bought,купил
finished,законченный
fair,Справедливая
sun,солнце
letter,письмо
fool,дурак
attention,внимание
club,клуб
simple,просто
interesting,интересный
space,пространство
test,контрольная работа
box,коробка
group,группа
single,не замужем
sitting,сидящий
marriage,брак
join,присоединиться
fear,страх
d,d
peace,мир
forgot,забыл
force,сила
short,короткая
normal,нормальный
charlie,Чарли
present,настоящее время
enjoy,наслаждаться
mike,Майк
crime,преступление
horse,лошадь
ground,земля
american,американский
count,считать
area,площадь
charge,заряжать
honor,честь
lunch,обед
miles,миль
radio,радио
idiot,идиот
ball,мяч
surprise,сюрприз
paper,бумага
key,ключ
boat,лодка
quickly,быстро
gold,золото
bar,бар
fish,рыбы
mark,отметка
tom,Том
wearing,носить
crying,плач
accident,несчастный случай
government,правительство
eight,восемь
fell,упал
cover,обложка
certain,определенный
interested,заинтересованный
deep,глубокий
star,звезда
sea,море
agree,соглашаться
problems,проблемы
detective,детектив
prison,тюрьма
major,крупный
stick,палка
offer,предложение
difficult,трудно
smart,умная
personal,личный
record,записывать
stopped,остановился
hide,Спрятать
whether,будь то
bank,банк
trip,поездка
relax,расслабляться
america,Америка
public,общественности
list,список
afternoon,после полудня
brain,головной мозг
fix,исправить
bastard,сволочь
proud,гордый
tea,чай
service,служба
screaming,кричащий
forward,вперед
angry,сердитый
park,парк
soul,душа
fighting,борьба
peter,Питер
rich,богатые
agent,агент
blow,дуть
paul,Павел
dress,платье
mary,Мэри
missed,пропущенный
scene,место действия
killing,убийство
standing,постоянный
saved,Сохраненный
mm,мм
respect,уважать
killer,убийца
ice,лед
mess,беспорядок
tough,жесткий
feels,чувствует себя
church,церковь
sad,печальный
cell,клетка
drunk,пьяный
share,доля
camera,камера
mm-hmm,мм гм
within,в пределах
card,открытка
fly,летать
ben,Бен
girlfriend,Подруга
laugh,смех
smell,запах
broken,сломанный
mum,мама
honest,честный
often,довольно часто
starting,начало
calls,звонки
y,Y
spent,потраченный
third,в третьих
english,английский
visit,визит
mama,мама
judge,судить
window,окно
hungry,голодный
dare,сметь
relationship,отношение
moved,взолнованный
prove,доказывать
private,частный
wall,стена
seat,сиденье
i-i,я-я
position,позиция
lieutenant,лейтенант
realize,понимать
lt,л
especially,особенно
machine,машина
walking,ходьба
art,Изобразительное искусство
pleasure,удовольствие
bloody,кровавый
college,колледж
french,французский язык
involved,вовлеченный
cry,плакать
became,стал
lived,жил
impossible,невозможно
obviously,очевидно
neither,ни один
accept,принимать
boyfriend,дружок
besides,Кроме того
queen,Королева
teacher,учитель
cops,менты
sake,сакэ
loves,любови
carry,нести
teach,учить
apartment,квартира
upset,расстроена
green,зеленый
la,ля
liked,понравилось
cute,милый
evil,зло
professor,профессор
contact,контакт
joke,шутить
cop,полицейский
huge,огромный
holy,святой
store,хранить
jail,тюрьма
likes,нравится
lawyer,адвокат
doubt,сомневаться
continue,Продолжать
appreciate,ценить
cat,Кот
shop,магазин
driving,вождение
congratulations,Поздравляю
wrote,писал
village,деревня
quit,покидать
field,поле
james,Джеймс
wine,вино
decision,решение
south,юг
sleeping,спать
slow,медленный
laughter,смех
island,остров
glass,стекло
beginning,начало
cash,наличные
dying,умирающий
hundred,сто
whose,чья
difference,разница
plane,самолет
push,толкать
continues,продолжается
mmm,М-м-м
singing,пение
eating,принимать пищу
north,к северу
mrs,Г-жа
tree,дерево
madam,Госпожа
gift,подарок
truck,грузовая машина
putting,сдачи
bear,нести
board,доска
grab,схватить
beer,пиво
stuck,застрявший
magic,магия
support,служба поддержки
rules,правила
grunts,хрюкает
partner,партнер
reach,достигать
wind,ветер
colonel,полковник
max,Максимум
immediately,немедленно
seconds,секунд
thousand,тысяча
gives,дает
experience,опыт
cheers,ваше здоровье
victim,потерпевший
upon,на
computer,компьютер
christ,Христос
planet,планета
promised,обещанный
bus,автобус
henry,Генри
dirty,грязный
search,поиск
staying,пребывание
dreams,мечты
arrest,арестовывать
holding,держа
suddenly,"вдруг, внезапно"
usually,обычно
lots,много
shoes,туфли
er,эр
jump,Прыгать
rid,избавлять
yo,Эй
knock,постучать
owe,быть должным
harry,Гарри
grow,расти
worst,наихудший
river,река
aunt,тетя
patient,пациент
kitchen,кухня
aah,ааа
fat,толстый
passed,прошедший
m,м
final,окончательный
summer,летом
bob,боб
listening,прослушивание
escape,побег
everywhere,везде
moon,Луна
arms,руки
turns,витки
address,адрес
ow,вл
match,соответствовать
gasps,вздохи
grand,большой
yep,Ага
shh,тсс
nervous,нервный
de,де
choose,выбирать
themselves,самих себя
decide,решать
mate,приятель
drinking,питьевой
press,нажимать
bother,беспокоить
foot,оплачивать
hadn,hadn
blame,обвинять
crap,дерьмо
drugs,наркотики
type,тип
rings,кольца
mission,миссия
named,названный
heaven,небеса
ii,б
picked,выбрал
paris,Париж
race,гонка
risk,риск
books,книги
further,дальше
danny,Danny
action,действие
allowed,допустимый
orders,заказы
learned,научился
price,цена
arrived,прибывший
nick,Ник
otherwise,иначе
pictures,картинки
fit,соответствовать
smoke,дым
favor,услуга
played,играл
notice,уведомление
awesome,классно
smile,улыбка
director,директор
guard,сторожить
begin,начинать
spot,место
surprised,удивлены
innocent,невиновный
narrator,рассказчик
herself,саму себя
london,Лондон
feelings,чувства
enemy,враг
battle,боевой
ourselves,сами
alex,Алекс
dollars,долларов
allow,разрешать
nine,девять
gay,гей
department,отделение
guilty,виновный
apart,раздельно
earlier,ранее
duty,долг
jim,Джим
suit,подходить
bell,колокол
west,Запад
legs,ноги
hero,герой
destroy,разрушать
stage,сцена
bunch,связка
according,согласно
chicken,курица
bigger,больше
grunting,хрюканье
low,низкий
helping,помощь
admit,признаться
closed,закрыто
names,имена
witness,свидетель
upstairs,вверх по лестнице
arm,рука
steal,воровать
jimmy,Джимми
kick,пинать
twice,дважды
cross,Пересекать
ways,пути
sergeant,сержант
indeed,верно
gas,газ
keeping,хранение
energy,энергия
pregnant,беременная
waste,трата
helped,помог
fired,уволенный
favorite,любимый
tony,Тони
taste,вкус
locked,запертый
places,мест
writing,пишу
adam,Адам
brothers,братья
starts,начинается
prince,принц
form,форма
sold,продан
silly,глупый
mention,упомянуть
build,строить
throat,горло
hole,отверстие
figured,фигурный
track,отслеживать
ringing,звонкий
lock,замок
leg,нога
above,выше
hiding,прячется
steve,Стив
seemed,казалось
breakfast,завтрак
engine,двигатель
written,написано
complete,полный
video,видео
applause,аплодисменты
however,Однако
pressure,давление
fresh,свежий
weapon,оружие
sky,небо
ms.,РС.
stole,украл
study,изучение
burn,гореть
reading,чтение
crowd,толпа
treat,рассматривать
roll,рулон
double,двойной
spirit,дух
danger,Опасность
cost,Стоимость
empty,пустой
level,уровень
memory,объем памяти
itself,сам
acting,действующий
interest,интерес
nose,нос
plans,планы
following,следующий
bathroom,ванная
built,построен
closer,ближе
ray,луч
sarah,Сара
band,группа
groans,стоны
apparently,по-видимому
excited,в восторге
richard,Ричард
losing,проигравшая
animals,животные
flight,полет
nature,природа
raise,поднимать
pop,поп
client,клиент
bomb,бомбить
neck,шея
suspect,подозревать
warm,теплый
extra,дополнительный
bottle,бутылка
van,фургон
heavy,тяжелый
mommy,мамочка
dogs,собаки
wild,дикий
ridiculous,нелепый
simply,просто
lee,подветренный
animal,животное
showed,показал
billy,Билли
shooting,стрельба
keeps,держит
camp,лагерь
guns,оружие
medical,медицинская
shame,стыд
hoping,надеясь
whom,кого
bird,птица
majesty,величественность
flowers,цветы
famous,известный
asleep,спящий
beauty,Красота
driver,Водитель
keys,ключи
rain,дождь
awful,ужасный
large,большой
local,местный
deserve,заслуживать
goddamn,проклятие
stone,камень
jane,Джейн
grace,благодать
consider,рассматривать
weekend,выходные дни
wondering,интересный
lay,класть
plenty,множество
willing,готовый
pants,брюки
sweetheart,дорогой
skin,кожа
excellent,отлично
asshole,Мудак
beach,пляж
c,с
faith,Вера
beg,просить
fuckin,гребаный
responsible,ответственный
military,военный
cheering,ободряющий
opportunity,возможность
common,общий
bottom,Нижний
german,Немецкий
whoever,кто бы ни
cook,готовить
walked,шел
papers,документы
justice,справедливость
hall,зал
commander,командир
drug,"препарат, средство, медикамент"
main,основной
knife,нож
devil,дьявол
necessary,нужно
although,хотя
princess,принцесса
lights,огни
flying,летающий
dick,Дик
rose,Роза
knowing,знание
clearly,четко
hat,шапка
agreed,согласовано
johnny,Джонни
corner,угол
code,код
note,Примечание
tommy,Томми
due,должный
correct,верный
apologize,извиняться
language,язык
stars,звезды
faster,Быстрее
cars,машины
folks,близкие
bullshit,фигня
i.,я.
fellow,парень
several,несколько
grandma,бабушка
shows,шоу
leader,лидер
leaves,листья
restaurant,ресторан
east,Восток
shouting,крики
blind,слепой
ghost,призрак
cup,чашка
gotten,полученный
tight,в обтяжку
conversation,беседа
tells,говорит
lies,вранье
nor,ни
pulled,вытащил
hanging,висит
speed,скорость
stories,рассказы
health,здоровье
advice,совет
held,проводится
uh-huh,Ага
murdered,убитый
beyond,вне
rule,правило
hardly,едва
possibly,возможно
inspector,инспектор
cousin,двоюродный брат
trial,испытание
emergency,крайняя необходимость
ought,должен
eddie,Эдди
somehow,как-то
hearing,слушание
states,состояния
account,учетная запись
spoke,спица
file,файл
understood,понял
angel,ангел
tape,Лента
milk,молоко
powerful,мощный
weapons,оружие
practice,упражняться
manager,управляющий делами
pardon,помилование
vote,голосование
jake,Джейк
national,национальный
career,карьера
minister,министр
super,супер
taught,учил
robert,Роберт
biggest,самый большой
plays,пьесы
natural,естественный
dancing,танцы
copy,копия
plus,плюс
martin,Мартин
cake,торт
freedom,Свобода
among,среди
breath,дыхание
operation,операция
chris,Крис
crew,экипаж
challenge,испытание
market,рынок
meat,мясо
towards,в направлении
bringing,приведение
dropped,упавший
student,студент
lied,солгал
strength,сила
size,размер
breathe,дышать
color,цвет
monster,монстр
loud,громко
photo,Фото
aw,ав
nearly,Около
sight,достопримечательность
greatest,величайший
games,игры
bridge,мост
dressed,одетый
arrested,арестованный
horrible,какой ужас
coach,тренер
planning,планирование
checked,проверено
breaking,ломка
noticed,обратил внимание
fantastic,фантастика
screams,крики
serve,обслуживать
ideas,идеи
investigation,изучение
center,центр
older,старшая
pack,пакет
soldiers,солдаты
nonsense,ерунда
doc,доктор
project,проект
training,подготовка
example,пример
trick,обманывать
prepared,готовый
science,наука
united,единый
travel,путешествовать
incredible,невероятный
grandpa,дедушка
paying,платеж
character,персонаж
teeth,зубы
criminal,уголовное
charles,Чарльз
chinese,китайский язык
truly,действительно
honestly,честно говоря
bro,братан
survive,выживать
bobby,Бобби
target,цель
feed,подача
nurse,медсестра
e,е
fake,не настоящие
records,учет
breathing,дыхание
sweetie,милая
numbers,чисел
oil,масло
suicide,самоубийство
belong,принадлежать
whoo,Охайте
perfectly,прекрасно
amy,Эми
forgotten,забытый
remain,оставаться
original,оригинал
papa,папа
onto,на
concerned,обеспокоенный
credit,кредит
ugh,фу
invited,приглашенный
discuss,обсуждать
research,исследовательская работа
easier,Полегче
view,Посмотреть
chair,стул
hurts,болит
strike,забастовка
roger,Роджер
fill,наполнять
condition,условие
mountain,гора
dr,доктор
nowhere,нигде
sheriff,шериф
kim,ким
turning,превращение
brown,коричневый
recognize,распознавать
heads,руководители
audience,аудитория
all,все
jealous,ревнивый
pretend,притворяться
society,общество
finding,обнаружение
shirt,Рубашка
comfortable,комфортный
meaning,значение
guest,гость
pieces,куски
dry,сухой
letting,сдача в аренду
began,начал
aye,да
jeff,Джефф
female,женский пол
release,релиз
ho,эй
cards,карты
pray,молиться
unfortunately,К сожалению
balls,мячи
destroyed,разрушенный
ended,закончился
universe,вселенная
prepare,подготовить
opinion,мнение
movies,фильмы
soldier,солдат
wash,стирка
program,программа
heat,высокая температура
usual,обычный
ticket,билет
stolen,украденный
prefer,предпочитать
aware,осведомленный
surely,конечно
male,мужчина
base,основание
matters,имеет значение
lift,поднимать
lab,лаборатория
command,команда
proof,доказательство
cream,крем
selling,продажа
believed,"Считается,"
create,Создайте
h,час
afford,предоставлять
sunday,Воскресенье
total,Всего
dumb,тупой
threw,метала
france,Франция
birth,рождение
created,созданный
realized,осуществленный
british,Британская
noise,шум
nuts,орешки
students,студенты
birds,птицы
social,Социальное
brilliant,блестящий
bodies,тела
tie,галстук
opened,открытый
ours,наш
bucks,баксы
kevin,Кевин
mister,Господин
ugly,уродливый
ryan,Райана
focus,фокус
dan,Дан
opens,Открытие
exist,существовать
followed,с последующим
england,Англия
draw,рисовать
purpose,цель
daniel,Даниил
opening,открытие
bullet,пуля
anna,Анна
lately,за последнее время
stayed,остался
falling,падение
season,сезон
ends,концы
suggest,предложить
joy,радость
distance,расстояние
responsibility,обязанность
whenever,в любое время
issue,проблема
thousands,тысячи
process,процесс
sword,меч
shower,душ
weak,слабый
fucked,трахал
lonely,"Одинокий, уединенный"
happiness,счастье
eric,Эрик
tiny,крошечный
desk,стол письменный
pool,бассейн
property,свойство
forced,принужденный
settle,решить
indistinct,неясный
weight,масса
received,получили
gang,банда
bite,кусать
friday,Пятница
disappeared,исчез
interview,интервью
expecting,ожидая
kinda,своего рода
surgery,хирургия
horses,лошади
mayor,мэр
babe,младенец
ancient,древний
handsome,красивый
thomas,Томас
saturday,Суббота
staff,сотрудники
lines,линии
unit,единица измерения
fan,поклонник
gentleman,джентльмен
introduce,представлять
fate,судьба
split,расколоть
recently,совсем недавно
expected,ожидал
add,добавлять
ordered,приказал
slowly,медленно
alarm,тревога
member,член
slept,спала
signed,подписанный
enter,войти
spanish,испанский язык
garden,сад
brings,приносит
brave,Храбрый
pig,свинья
model,модель
finger,Палец
medicine,медицина
access,доступ
failed,не удалось
flat,плоский
easily,с легкостью
discovered,обнаруженный
based,на основании
screw,винт
insane,безумный
cares,заботы
weather,Погода
fingers,пальцы
san,Сан -
scott,Скот
path,дорожка
soft,мягкий
harm,вред
style,стиль
community,сообщество
sees,видит
basically,в основном
al,аль
signal,сигнал
nope,нет
spare,запасной
speech,речь
covered,покрытый
shake,сотрясения
loose,свободный
snow,снег
russian,русский
lake,озеро
bright,яркий
roof,крыша
ohh,Ох
sending,отправка
paint,краска
remind,напоминать
pal,собутыльник
naked,обнаженный
post,сообщение
sugar,сахар
heading,Заголовок
streets,улицы
damage,повреждать
silence,тишина
doors,двери
pete,Пит
ed,издание
success,успех
wet,мокрый
nah,Неа
amount,количество
members,члены
kate,Катя
manage,управлять
safety,безопасность
returned,возвращенный
harder,Сильнее
fbi,ФБР
block,блокировать
showing,показ
fancy,изысканный
chef,шеф-повар
contract,договор
dig,копать землю
chest,грудь
good-bye,до свидания
drinks,напитки
dave,Дейв
buried,похороненный
brian,Брайан
trade,торговля
journey,путешествие
stomach,желудок
changes,изменения
details,подробности
thoughts,мысли
divorce,расторжение брака
funeral,похороны
maria,Мария
football,футбол
reality,реальность
theory,теория
gosh,черт возьми
ruined,разрушенный
gate,ворота
william,Уильям
spread,распространение
outta,убираться
japanese,Японский
sudden,внезапный
coat,Пальто
sooner,рано
cheese,сыр
larry,Larry
spring,весна
page,страница
ears,уши
simon,Саймон
castle,замок
hidden,скрытый
storm,буря
cos,соз
personally,лично
artist,художник
hill,холм
exciting,захватывающий
permission,разрешение
jerry,Джерри
expensive,дорого
tickets,Билеты
forest,лес
barely,едва
eggs,яйца
goin,иди в
regret,сожалеть
lesson,урок
lover,возлюбленный
bread,хлеб
andy,Энди
subject,предмет
legal,правовой
growing,рост
ill,больной
jason,Ясон
mood,настроение
owner,владелец
caused,вызванный
beeping,писк
points,точки
dating,знакомства
loss,потеря
secretary,секретарь
revenge,жажда мести
santa,Санта
likely,скорее всего
rent,арендовать
connection,связь
assistant,помощник
reasons,причины
yelling,вопли
painting,картина
trees,деревья
doctors,врачи
rush,порыв
foreign,иностранный
rough,грубый
murderer,убийца
century,века
nights,ночью
pair,пара
runs,работает
pocket,карман
farm,ферма
matt,матовый
bike,велосипед
obvious,очевидный
ate,съел
grew,выросла
professional,профессиональный
tim,Тим
goodness,доброта
parts,части
alan,Алан
university,Университет
square,квадрат
grandfather,дедушка
europe,Европа
genius,гениальность
cases,случаи
ruin,разорение
winter,зима
tongue,язык
memories,воспоминания
da,да
buying,покупка
cancer,рак
clock,Часы
ocean,океан
dna,ДНК
liar,лжец
thief,вор
bleep,бип
lisa,Лайза
rights,права
including,в том числе
competition,соревнование
smith,кузнец
planned,планируемый
emily,Эмили
boring,скучный
victims,жертвы
mentioned,упомянул
bones,скелет
plant,завод
bless,благословить
warning,предупреждение
knocking,стук
re,ре
crash,крушение
bedroom,спальная комната
lower,ниже
silver,серебро
groaning,стонущий
madame,мадам
defense,оборона
results,Результаты
toilet,туалет
event,событие
complicated,сложный
shape,форма
priest,священник
royal,королевский
cheap,дешевый
romantic,романтик
downstairs,вниз по лестнице
fortune,удача
tears,слезы
avoid,избегать
reached,достиг
higher,выше
familiar,знакомые
telephone,телефон
burning,сжигание
filled,заполненный
kelly,келли
alice,Алиса
airport,аэропорт
jobs,работы
grown,взрослый
walter,Вальтер
rachel,Рахиль
giant,гигант
insurance,страхование
woods,леса
n,N
scare,попугать
pleased,довольный
period,период
political,политическая
player,игрок
stops,упоры
secrets,секреты
laura,Лора
repeat,повторить
photos,фотографии
finds,находки
